,full_name,rating,jersey,team,position,b_day,height_inInches,height_inMeters,weight_inlbs,weight_inkg,salary,country,draft_year,draft_round,draft_peak,college
19,Kemba Walker,88,8,Boston Celtics,G,05/08/90,6.0,1.83,172,78.0,32742000,USA,2011,1,9,UConn
20,Luka Doncic,87,77,Dallas Mavericks,G-F,02/28/99,6.58,2.01,227,103.0,7683360,Slovenia,2018,1,3,Fresno State
21,LaMarcus Aldridge,87,12,San Antonio Spurs,F-C,07/19/85,6.08,2.11,246,111.6,26000000,USA,2006,1,2,Texas
22,Bradley Beal,87,3,Washington Wizards,G,06/28/93,6.25,1.91,207,93.9,27093018,USA,2012,1,3,Florida
23,Mike Conley,87,10,Utah Jazz,G,10/11/87,6.08,1.85,185,83.9,32511623,USA,2007,1,4,Ohio State
24,DeMar DeRozan,87,10,San Antonio Spurs,G-F,08/07/89,6.5,1.98,220,99.8,27739975,USA,2009,1,9,USC
25,CJ McCollum,87,3,Portland Trail Blazers,G,09/19/91,6.25,1.91,197,89.4,27556959,USA,2013,1,10,Lehigh
26,Victor Oladipo,87,4,Indiana Pacers,G,05/04/92,6.33,1.93,213,96.6,21000000,USA,2013,1,2,Indiana
27,Kristaps Porzingis,87,6,Dallas Mavericks,F-C,08/02/95,7.25,2.21,220,99.8,27285000,Latvia,2015,1,4,Arizona State
28,D'Angelo Russell,87,0,Minnesota Timberwolves,G,02/23/96,6.33,1.93,193,87.5,27285000,USA,2015,1,2,Ohio State
29,Pascal Siakam,87,43,Toronto Raptors,F,04/02/94,6.75,2.06,227,103.0,2351838,Cameroon,2016,1,27,New Mexico State
30,Ben Simmons,87,25,Philadelphia 76ers,F,07/20/96,6.08,2.08,240,108.9,8113929,Australia,2016,1,1,LSU
31,De'Aaron Fox,86,5,Sacramento Kings,G,12/20/97,6.25,1.91,171,77.6,6392760,USA,2017,1,5,Kentucky
32,Devin Booker,86,1,Phoenix Suns,G,10/30/96,6.42,1.96,206,93.4,27285000,USA,2015,1,13,Kentucky
33,DeMarcus Cousins,86,0,Phoenix Suns,C,08/13/90,6.08,2.08,270,122.5,3500000,USA,2010,1,5,Kentucky
34,Andre Drummond,86,0,Cleveland Cavaliers,C,08/10/93,6.08,2.08,270,122.5,27093018,USA,2012,1,9,UConn
35,Draymond Green,86,23,Golden State Warriors,F,03/04/90,6.5,1.98,230,104.3,18539130,USA,2012,2,35,Michigan State
36,Jrue Holiday,86,11,New Orleans Pelicans,G,06/12/90,6.25,1.91,180,81.6,26131111,USA,2009,1,17,UCLA
37,Nikola Vucevic,86,9,Orlando Magic,C,10/24/90,6.08,2.11,240,108.9,28000000,Montenegro,2011,1,16,USC
38,John Wall,86,2,Washington Wizards,G,09/06/90,6.33,1.93,195,88.5,38199000,USA,2010,1,1,Kentucky
39,Jayson Tatum,85,0,Boston Celtics,F,03/03/98,6.67,2.03,204,92.5,7830000,USA,2017,1,3,Duke
40,Trae Young,85,11,Atlanta Hawks,G,09/19/98,6.08,1.85,180,81.6,6273000,USA,2018,1,5,Oklahoma
41,Eric Bledsoe,85,6,Milwaukee Bucks,G,12/09/89,6.08,1.85,195,88.5,15625000,USA,2010,1,18,Kentucky
42,Clint Capela,85,15,Atlanta Hawks,C,05/18/94,6.08,2.08,211,95.7,16896552,Switzerland,2014,1,25,Wisconsin
43,Tobias Harris,85,12,Philadelphia 76ers,F,07/15/92,6.67,2.03,226,102.5,32742000,USA,2011,1,19,Tennessee
44,Al Horford,85,42,Philadelphia 76ers,C-F,06/03/86,6.75,2.06,246,111.6,28000000,Dominican Republic,2007,1,3,Florida
45,Zach LaVine,85,8,Chicago Bulls,G,03/10/95,6.5,1.98,181,82.1,19500000,USA,2014,1,13,UCLA
46,Kyle Lowry,85,7,Toronto Raptors,G,03/25/86,6.0,1.83,205,93.0,33296296,USA,2006,1,24,Villanova
47,Khris Middleton,85,22,Milwaukee Bucks,F,08/12/91,6.58,2.01,217,98.4,30603448,USA,2012,2,39,Texas A&M
48,Chris Paul,85,3,Oklahoma City Thunder,G,05/06/85,6.08,1.85,175,79.4,38506482,USA,2005,1,4,Wake Forest
49,John Collins,84,20,Atlanta Hawks,F,09/23/97,6.75,2.06,225,102.1,2686560,USA,2017,1,19,Wake Forest
50,Buddy Hield,84,24,Sacramento Kings,G,12/17/93,6.33,1.93,212,96.2,4861207,The Bahamas,2016,1,6,Oklahoma
51,Kyle Kuzma,84,0,Los Angeles Lakers,F,07/24/95,6.67,2.03,221,100.2,1974600,USA,2017,1,27,Utah
52,Jamal Murray,84,27,Denver Nuggets,G,02/23/97,6.33,1.93,201,91.2,4444746,Canada,2016,1,7,Kentucky
53,Louis Williams,84,23,Los Angeles Clippers,G,10/27/86,6.08,1.85,175,79.4,8000000,USA,2005,2,45,Murray State
54,Marvin Bagley,83,35,Sacramento Kings,F,03/14/99,6.08,2.11,235,106.6,8556120,USA,2018,1,2,Duke
55,Bojan Bogdanovic,83,44,Utah Jazz,G-F,04/18/89,6.67,2.03,216,98.0,17000000,Croatia,2011,2,31,Providence
56,Malcolm Brogdon,83,7,Indiana Pacers,G,12/11/92,6.42,1.96,223,101.2,20000000,USA,2016,2,36,Virginia
57,Danilo Gallinari,83,8,Oklahoma City Thunder,F,08/08/88,6.08,2.08,225,102.1,22615559,Italy,2008,1,6,New Mexico State
58,Montrezl Harrell,83,5,Los Angeles Clippers,F,01/26/94,6.58,2.01,253,114.8,6000000,USA,2015,2,32,Louisville
59,Kevin Love,83,0,Cleveland Cavaliers,F,09/07/88,6.67,2.03,260,117.9,28942830,USA,2008,1,5,UCLA
60,Lauri Markkanen,83,24,Chicago Bulls,F-C,05/22/97,7.0,2.13,240,108.9,5300400,Finland,2017,1,7,Arizona
61,Jusuf Nurkic,83,27,Portland Trail Blazers,C,08/23/94,7.0,2.13,290,131.5,12000000,Bosnia and Herzegovina,2014,1,16,USC
62,Julius Randle,83,30,New York Knicks,F,11/29/94,6.67,2.03,250,113.4,18000000,USA,2014,1,7,Kentucky
63,Marc Gasol,82,33,Toronto Raptors,C,01/29/85,6.08,2.11,265,120.2,25595700,Spain,2007,2,48,Arkansas
64,Steven Adams,82,12,Oklahoma City Thunder,C,07/20/93,6.08,2.11,255,115.7,25842697,New Zealand,2013,1,12,Pittsburgh
65,Deandre Ayton,82,22,Phoenix Suns,C,07/23/98,6.08,2.11,250,113.4,9562920,The Bahamas,2018,1,1,Arizona
66,Spencer Dinwiddie,82,8,Brooklyn Nets,G,04/06/93,6.42,1.96,205,93.0,10605600,USA,2014,2,38,Colorado
67,Jaren Jackson,82,13,Memphis Grizzlies,F-C,09/15/99,6.08,2.11,242,110.0,6699960,USA,2018,1,4,Michigan State
68,Paul Millsap,82,4,Denver Nuggets,F-C,02/10/85,6.58,2.01,250,113.4,30350000,USA,2017,2,47,Louisiana Tech
69,Marcus Smart,82,36,Boston Celtics,G,03/06/94,6.25,1.91,227,103.0,12553571,USA,2014,1,6,Oklahoma State
70,Myles Turner,82,33,Indiana Pacers,F-C,03/24/96,6.08,2.11,239,108.4,18000000,USA,2015,1,11,Texas
71,Serge Ibaka,81,9,Toronto Raptors,F,09/18/89,7.0,2.13,240,108.9,23271604,Spain,2008,1,24,Missouri 
72,Zion Williamson,81,1,New Orleans Pelicans,F,07/06/00,6.5,1.98,284,128.8,9757440,USA,2019,1,1,Duke
73,Rudy Gay,81,22,San Antonio Spurs,F,08/17/86,6.67,2.03,230,104.3,14500000,USA,2006,1,8,UConn
74,Aaron Gordon,81,0,Orlando Magic,F,09/16/95,6.67,2.03,220,99.8,19863636,USA,2014,1,4,Arizona
75,Brandon Ingram,81,14,New Orleans Pelicans,F,09/02/97,6.58,2.01,196,88.9,7265485,USA,2016,1,2,Duke
76,DeAndre Jordan,81,6,Brooklyn Nets,C,07/21/88,6.08,2.11,265,120.2,9881598,USA,2008,2,35,Texas A&M
77,Domantas Sabonis,81,11,Indiana Pacers,F-C,05/03/96,6.08,2.11,231,104.8,3529554,Lithuania,2016,1,11,Gonzaga
78,Jonas Valanciunas,81,17,Memphis Grizzlies,C,05/06/92,6.08,2.11,231,104.8,16000000,Lithuania,2011,1,5,Louisiana Tech
79,Hassan Whiteside,81,21,Portland Trail Blazers,C,06/13/89,7.0,2.13,235,106.6,27093018,USA,2010,2,33,Marshall
80,Derrick Rose,80,25,Detroit Pistons,G,10/04/88,6.17,1.88,190,86.2,7317074,USA,2008,1,1,Memphis
81,Robert Covington,80,33,Houston Rockets,F,12/14/90,6.58,2.01,209,94.8,11301219,USA,2013,1,54,Tennessee State
82,Derrick Favors,80,22,New Orleans Pelicans,F,07/15/91,6.75,2.06,246,111.6,17650000,USA,2010,1,3,Georgia Tech
83,Gordon Hayward,80,20,Boston Celtics,F,03/23/90,6.58,2.01,207,93.9,32700690,USA,2010,1,9,Butler
84,Reggie Jackson,80,0,Los Angeles Clippers,G,04/16/90,6.25,1.91,208,94.3,17799677,USA,2011,1,24,Boston College
85,Enes Kanter,80,11,Boston Celtics,C,05/20/92,6.08,2.08,262,118.8,4767000,Turkey,2011,1,3,Green Bay
86,Otto Porter,80,22,Chicago Bulls,F,06/03/93,6.67,2.03,198,89.8,27250576,USA,2013,1,2,Georgetown
87,JJ Redick,80,4,New Orleans Pelicans,G,06/24/84,6.25,1.91,190,86.2,13486300,USA,2006,1,11,Duke
88,Josh Richardson,80,0,Philadelphia 76ers,G,09/15/93,6.42,1.96,200,90.7,10116576,USA,2015,2,40,Tennessee
89,TJ Warren,80,1,Indiana Pacers,F,09/05/93,6.67,2.03,220,99.8,11060000,USA,2014,1,14,NC State
90,Ja Morant,79,12,Memphis Grizzlies,G,08/10/99,6.25,1.91,174,78.9,8730240,USA,2019,1,2,Murray State
91,Bam Adebayo,79,13,Miami Heat,F-C,07/18/97,6.75,2.06,243,110.2,3454080,USA,2017,1,14,Kentucky
92,Jarrett Allen,79,31,Brooklyn Nets,C,04/20/98,6.08,2.11,234,106.1,2376840,USA,2017,1,22,Texas
93,Lonzo Ball,79,2,New Orleans Pelicans,G,10/27/97,6.5,1.98,190,86.2,8719320,USA,2017,1,2,UCLA
94,Harrison Barnes,79,40,Sacramento Kings,F,05/30/92,6.67,2.03,210,95.3,24147727,USA,2012,1,7,North Carolina
95,Patrick Beverley,79,21,Los Angeles Clippers,G,07/12/88,6.08,1.85,180,81.6,12345680,USA,2009,2,42,Arkansas
96,Jaylen Brown,79,7,Boston Celtics,F,10/24/96,6.5,1.98,223,101.2,6534829,USA,2016,1,3,California
97,Willie Cauley-Stein,79,0,Dallas Mavericks,C,08/18/93,7.0,2.13,242,109.8,2177483,USA,2015,1,6,Kentucky
98,Goran Dragic,79,7,Miami Heat,G,05/06/86,6.25,1.91,190,86.2,19217900,Slovenia,2008,2,45,Xavier
99,Shai Gilgeous-Alexander,79,2,Oklahoma City Thunder,G,07/12/98,6.42,1.96,180,81.6,3952920,Canada,2018,1,11,Kentucky
100,Gary Harris,79,14,Denver Nuggets,G,09/14/94,6.33,1.93,205,93.0,17839286,USA,2014,1,19,Michigan State
101,Joe Ingles,79,2,Utah Jazz,F,10/02/87,6.58,2.01,209,94.8,11454546,Australia,2009,1,29,Western Kentucky
102,Jeremy Lamb,79,26,Indiana Pacers,G,05/30/92,6.42,1.96,180,81.6,10500000,USA,2012,1,12,UConn
